Range	单元格区域	excel
Column	列	excel
Formula Bar	编辑单元格内容或公式的公式栏	excel
Sheet Tab	工作表标签	excel
Fill Handle	填充柄；拖动以复制或延续序列	excel
Function	函数；预定义的计算公式	excel
Formula	公式；以等号开头的计算表达式	excel
Recently Used	最近使用的函数	excel
Financial	财务函数类别	excel
Logical	逻辑函数类别	excel
Text Functions	文本函数类别	excel
Date & Time Functions	日期和时间函数类别	excel
Lookup & Reference	查找和引用函数类别	excel
Math & Trig	数学和三角函数类别	excel
Use in Formula	在公式中使用已定义名称	excel
Create from Selection	根据所选区域创建名称	excel
Trace Precedents	追踪引用此单元格公式的前置单元格	excel
Trace Dependents	追踪引用当前单元格的从属单元格	excel
Remove Arrows	删除公式审核箭头	excel
Show Formulas	显示公式而不是计算结果	excel
Evaluate Formula	逐步计算公式	excel
Watch Window	监视窗口；持续查看关键单元格	excel
Calculate Now	立即计算所有打开的工作簿	excel
Calculate Sheet	计算当前工作表	excel
Advanced Filter	高级筛选	excel
Clear Filter	清除筛选条件	excel
Reapply	重新应用排序和筛选	excel
Text to Columns	分列；按分隔符或固定宽度拆分文本	excel
Flash Fill	快速填充；根据示例自动识别填充规则	excel
Remove Duplicates	删除重复项	excel
Data Validation	数据验证；限制可输入的数据	excel
Consolidate	合并计算多个区域的数据	excel
Queries & Connections	查询和连接窗格	excel
Refresh All	全部刷新外部数据连接	excel
Get Data	获取数据	excel
From Table/Range	从表格或区域创建查询	excel
Forecast Sheet	预测工作表	excel
What-If Analysis	模拟分析	excel
Goal Seek	单变量求解	excel
Scenario Manager	方案管理器	excel
Data Table	模拟运算表	excel
Group Rows	组合行以创建分级显示	excel
Ungroup Rows	取消行组合	excel
Subtotal	分类汇总	excel
Freeze Panes	冻结窗格	excel
Freeze Top Row	冻结首行	excel
Freeze First Column	冻结首列	excel
Split	拆分窗口	excel
Hide Sheet	隐藏工作表	excel
Unhide Sheet	取消隐藏工作表	excel
Conditional Formatting	条件格式；按规则突出显示单元格	excel
Format as Table	套用表格格式	excel
Insert Cells	插入单元格、行或列	excel
Delete Cells	删除单元格、行或列	excel
Lock Cell	锁定单元格以配合工作表保护	excel
Merge & Center	合并后居中	excel
Wrap Text	自动换行	excel
Comma Style	千位分隔样式	excel
Increase Decimal	增加小数位数	excel
Decrease Decimal	减少小数位数	excel
PivotTable	数据透视表	excel
PivotChart	数据透视图	excel
Slicer	切片器；用按钮筛选表格或透视表	excel
Timeline	日程表；按日期筛选数据透视表	excel
Trendline	趋势线	excel
Data Labels	数据标签	excel
Axis Titles	坐标轴标题	excel
Normal View	普通视图	excel
Page Layout View	页面布局视图	excel
Print Area	打印区域	excel
Print Titles	打印标题；让指定行列在每页重复	excel
Sheet Options	工作表选项	excel
Headings	行号和列标	excel
Protect Sheet	保护工作表	excel
Protect Workbook	保护工作簿结构	excel
